device_brand,device_model,week_start,total_reviews,total_complaints,complaint_rate,roll_mean,roll_std,z_score,z_anomaly,iso_pred,iso_anomaly,strong_signal
Apple,iPhone 13,2022-10-24,17,2,0.1176470588235294,,,0.0,False,-1,True,False
Apple,iPhone 13,2022-10-31,11,3,0.2727272727272727,,,0.0,False,-1,True,False
Apple,iPhone 13,2022-11-07,16,5,0.3125,0.2342914438502673,0.1029558248831852,0.7596321649451985,False,1,False,False
Apple,iPhone 13,2022-11-14,9,5,0.5555555555555556,0.3146074717765894,0.1812988103078222,1.329010837797927,False,1,False,False
Apple,iPhone 13,2022-11-21,7,3,0.4285714285714285,0.3374002631355572,0.1650742277096609,0.5523040555805401,False,1,False,False
Apple,iPhone 13,2022-11-28,12,3,0.25,0.3228335526129643,0.151897119313853,-0.4794926522765327,False,1,False,False
Apple,iPhone 13,2022-12-05,7,2,0.2857142857142857,0.3508447570947571,0.1182643239202788,-0.5507195172770397,False,1,False,False
Apple,iPhone 13,2022-12-12,12,8,0.6666666666666666,0.4165013227513228,0.1659570312342667,1.5074103341979395,False,1,False,False
Apple,iPhone 13,2022-12-19,13,2,0.1538461538461538,0.3900590150590151,0.1957983502905307,-1.2064088428853588,False,1,False,False
Apple,iPhone 13,2022-12-26,11,6,0.5454545454545454,0.3883755133755133,0.1941270876336127,0.8091556618594953,False,1,False,False
Apple,iPhone 13,2023-01-02,18,6,0.3333333333333333,0.3725024975024975,0.1940767090371589,-0.20182310573735376,False,1,False,False
Apple,iPhone 13,2023-01-09,8,3,0.375,0.3933358308358308,0.1847831452872146,-0.09922891401881269,False,1,False,False
Apple,iPhone 13,2023-01-16,9,3,0.3333333333333333,0.4012723387723387,0.1802021241240015,-0.3770155638801177,False,1,False,False
Apple,iPhone 13,2023-01-23,12,4,0.3333333333333333,0.3457167832167832,0.1249216301182872,-0.09912974936145229,False,1,False,False
Apple,iPhone 13,2023-01-30,15,5,0.3333333333333333,0.3756313131313131,0.0848490485190512,-0.49850859303958595,False,1,False,False
Apple,iPhone 13,2023-02-06,10,3,0.3,0.3347222222222222,0.023814483610392,-1.4580296087995108,False,1,False,False
Apple,iPhone 13,2023-02-13,12,5,0.4166666666666667,0.3486111111111111,0.0409663366770906,1.6612555838709875,False,1,False,False
Apple,iPhone 13,2023-02-20,16,8,0.5,0.3694444444444444,0.0748455199183749,1.744333604709233,False,1,False,False
Apple,iPhone 13,2023-02-27,8,2,0.25,0.3555555555555555,0.0892354355789389,-1.1828883320929118,False,1,False,False
Apple,iPhone 13,2023-03-06,10,2,0.2,0.3333333333333333,0.1100504934614611,-1.211565065630766,False,1,False,False
